team,department,subdepartment,employee,title
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Dewitt Anderson
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,John Brehm
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Tim Brown
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Ken Clift
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Terry Cox
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Harry Frisby
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Chad Gaffney
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Dan Gaffney
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Kenneth Lewis
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Ed Ruprecht
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Eric Vennemeyer
cin,Ballpark Operations,Public Safety and Security,Public Safety Officer,Charles Weinschelbaum
cin,Business Operations,Public Safety and Security,Senior Vice President of Business Operations,Karen Forgus
cin,Business Operations,Public Safety and Security,Business Operations Assistant,Alex Heekin
cin,Business Operations,Public Safety and Security,Senior Advisor to Business Operations,Joe Morgan
cin,Business Operations,Public Safety and Security,Business Ops Assistant/Speakers Bureau,Emily Mahle
cin,Business Operations,Event Services and Merchandising,Event Services Manager,Katie Dixon
cin,Business Operations,Event Services and Merchandising,Authentics Manager,Jared Dvorsky
cin,Business Operations,Event Services and Merchandising,Event Services Sales & Marketing Coordinator,Elizabeth George
cin,Business Operations,Event Services and Merchandising,Event Services Coordinator,Anne Kirby
cin,Business Operations,Event Services and Merchandising,Assistant Event Services Coordinator,Lori Harding
cin,Communications and Marketing,Event Services and Merchandising,Vice President of Communications and Marketing,Ralph Mitchell
cin,Communications and Marketing,Communications,Director of Digital Media,Lisa Braun
cin,Communications and Marketing,Communications,Director of Marketing,Audra Sordyl
cin,Communications and Marketing,Communications,Senior Manager of Communications and Web Content,Jarrod Rollins
cin,Communications and Marketing,Communications,Public Relations Manager,Michael Anderson
cin,Communications and Marketing,Communications,Promotional Purchasing/Broadcasting Administrator,Lori Watt
cin,Communications and Marketing,Communications,Communications Coordinator,Brendan Hader
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Senior Director of Productions and Creative,Adam Lane
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Director of Creative Operations,Jansen Dell
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Senior Manager of Entertainment and Productions,Jami Itiavkase
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Video Engineer - Technical Manager,Brent Vinson
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Digital Design Manager,Daniel Randolph
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Creative Services Manager,Amy Calo
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Graphic Designer,Michael King
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Features Editor/Producer,Nick Prince
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Production Coordinator/Scoreboard,Billy Johnson
cin,Communications and Marketing,"Entertainment, Productions and Creative Services",Production Assistant,Kristen Snyder
cin,Communications and Marketing,Promotional Events and Player Relations,Senior Director of Promotional Events and Player Relations,Zach Bonkowski
cin,Communications and Marketing,Promotional Events and Player Relations,Senior Manager of Consumer Clubs and Player Relations,Corey Hawthorne
cin,Communications and Marketing,Promotional Events and Player Relations,Promotional Events Manager,Patrick McGrath
cin,Communications and Marketing,Promotional Events and Player Relations,Consumer Clubs Coordinator,Shannon Pratt
cin,Communications and Marketing,Promotional Events and Player Relations,Promotional Events Assistant,Caylor Escalante
cin,Communications and Marketing,Promotional Events and Player Relations,Events Coordinator/Mascots,Nick St. Pierre
cin,Community Fund,Promotional Events and Player Relations,Executive Director,Charley Frank
cin,Community Fund,Promotional Events and Player Relations,Finance and Operations Manager,Matthew Wagner
cin,Community Fund,Promotional Events and Player Relations,Outreach Coordinator,Jerome Wright
cin,Community Fund,Promotional Events and Player Relations,Program and Events Coordinator,Sara Ingram
cin,Community Fund,Promotional Events and Player Relations,Fundraising and Volunteer Coordinator,Johnna Farrell
cin,Community Fund,Promotional Events and Player Relations,Outreach Coordinator,Colleen Cheek
cin,Community Relations,Promotional Events and Player Relations,Director of Community Relations,Lindsey Lander
cin,Community Relations,Promotional Events and Player Relations,Diversity Relations Coordinator,Kylee Barnett
cin,Corporate Sales,Promotional Events and Player Relations,Vice President of Corporate Sales,Bill Reinberger
cin,Corporate Sales,Promotional Events and Player Relations,Director of Sponsorship Development,Dave Collins
cin,Corporate Sales,Promotional Events and Player Relations,Corporate Sales Manager,Mark Fields
cin,Corporate Sales,Promotional Events and Player Relations,Corporate Sales Manager,Dan Lewis
cin,Corporate Sales,Promotional Events and Player Relations,Corporate Sales Manager,Mark Scherer
cin,Corporate Sales,Promotional Events and Player Relations,Broadcast and Affiliates Manager,Joe Zerhusen
cin,Corporate Sales,Promotional Events and Player Relations,CRM Manager,Joanie Conkle
cin,Corporate Sales,Promotional Events and Player Relations,Corporate Account Services Manager,Rebecca Martin
cin,Corporate Sales,Promotional Events and Player Relations,Corporate Account Services Manager ,Joey Steiner
cin,Corporate Sales,Promotional Events and Player Relations,Corporate Account Services Manager ,Elisa Calderin
cin,Corporate Sales,Promotional Events and Player Relations,Corporate Account Services Manager ,Jason Strine
cin,Corporate Sales,Promotional Events and Player Relations,Trafficking Coordinator,Brandon Bowman
cin,Corporate Sales,Promotional Events and Player Relations,Assistant to Corporate Sales,Denise Lockwood
cin,Finance and Administration,Promotional Events and Player Relations,Vice President of Finance and Chief Financial Officer,Doug Healy
cin,Finance and Administration,Promotional Events and Player Relations,Vice President and General Counsel,"James A. Marx, Esq."
cin,Finance and Administration,Promotional Events and Player Relations,Controller,Bentley Viator
cin,Finance and Administration,Promotional Events and Player Relations,Assistant to General Counsel and CFO,Teena Schweier
cin,Finance and Administration,Accounting,Accounting Manager,Jill Niemeyer
cin,Finance and Administration,Accounting,Staff Accountant,Cathy Brakers
cin,Finance and Administration,Accounting,Accounts Payable Clerk,Sherri Klose
cin,Finance and Administration,Accounting,Staff Accountant,Ginny Maschinot
cin,Finance and Administration,Human Resources,Director of Human Resources,Garry McGuire
cin,Finance and Administration,Human Resources,Senior Manager of Human Resources,Allison Stortz
cin,Finance and Administration,Human Resources,HR Generalist,Brandon Chaney
cin,Finance and Administration,Information Technology,Vice President of Technology,Brian Keys
cin,Finance and Administration,Information Technology,Systems Administrator,Steve Lewis
cin,Finance and Administration,Information Technology,Applications Systems Developer,Ryan Barger
cin,Finance and Administration,Information Technology,Applications Systems Developer,Joe Wendt
cin,Finance and Administration,Information Technology,Systems Support,Chris Renner
cin,Finance and Administration,Information Technology,Business Systems Analyst,Chris Calo
cin,Finance and Administration,Information Technology,Business Analytics Developer,Mark Boone
cin,Finance and Administration,Information Technology,IT Developer,Kristin Bibbins
cws,Board of Directors,None,Jerry Reinsdorf,Chairman
cws,Board of Directors,None,Eddie Einhorn,Vice Chairman
cws,Board of Directors,None,Robert Mazer,Board Member
cws,Board of Directors,None,Allan Muchin,Board Member
cws,Board of Directors,None,Judd Malkin,Board Member
cws,Board of Directors,None,Lee Stern,Board Member
cws,Board of Directors,None,Jay Pinsky,Board Member
cws,Board of Directors,None,Burton Ury,Board Member
cws,Board of Directors,None,Charles Walsh,Board Member
cws,Board of Directors,None,Robert Judelson,Board Member
cws,Officers,None,Jerry Reinsdorf,Chairman
cws,Officers,None,Eddie Einhorn,Vice Chairman
cws,Officers,None,Howard Pizer,Senior Executive Vice President
cws,Officers,None,Ken Williams,Executive Vice President
cws,Officers,None,Rick Hahn,Senior Vice President/General Manager
cws,Officers,None,Tim Buzard,"Senior Vice President, Administration"
cws,Officers,None,Terry Savarise,"Senior Vice President, Stadium Operations"
cws,Officers,None,Scott Reifert,"Senior Vice President, Communications"
cws,Officers,None,Brooks Boyer,"Senior Vice President, Sales and Marketing"
cws,Officers,None,Buddy Bell,Vice President/Assistant General Manager
cws,Officers,None,Allan Muchin,Corporate Counsel
cws,Baseball Operations,Major League Operations,Dan Fabian,Senior Director of Baseball Operations
cws,Baseball Operations,Major League Operations,Ed Cassin,Director of Team Travel
cws,Baseball Operations,Major League Operations,Dennis Gilbert,Special Assistant to the Chairman
cws,Baseball Operations,Major League Operations,Bill Scherrer,Special Assistant to the Senior VP/General Manager
cws,Baseball Operations,Major League Operations,Dave Yoakum,Special Assistant to the Senior VP/General Manager
cws,Baseball Operations,Major League Operations,Larry Monroe,Advisor to Baseball Department
cws,Baseball Operations,Major League Operations,Bryan Little,Major League Advance Scout/Special Instructor
cws,Baseball Operations,Major League Operations,Nancy Nesnidal,Executive Assistant to the Senior Vice President/General Manager
cws,Baseball Operations,Major League Operations,Daniel Zien,Assistant Director of Baseball Operations
cws,Baseball Operations,Major League Operations,Marco Paddy,Special Assistant to the General Manager - International Operations
cws,Baseball Operations,Major League Operations,Bryan Johnson,Baseball Video Coordinator
cws,Baseball Operations,Major League Operations,Ross Mika,Technical Video Coordinator
cws,Baseball Operations,Major League Operations,Jeremy Haber,Assistant to the General Manager
cws,Baseball Operations,Major League Operations,Dan Strittmatter,Coordinator of Baseball Information
cws,Baseball Operations,Minor League Baseball Operations,Doug Laumann,Director of Amateur Scouting
cws,Baseball Operations,Minor League Baseball Operations,Grace Guerrero Zwit,Senior Director of Minor League Operations
cws,Baseball Operations,Minor League Baseball Operations,Nick Capra,Director of Player Development
cws,Baseball Operations,Minor League Baseball Operations,Del Matthews,Assistant Director of Player Development & Scouting
cws,Baseball Operations,Minor League Baseball Operations,Kirk Champion,Minor League Field Coordinator
cws,Baseball Operations,Minor League Baseball Operations,Kathy Potoski,Sr. Coordinator of Minor League Administration
cws,Baseball Operations,Minor League Baseball Operations,Robert Cummings,Player Development Assistant
cws,Baseball Operations,Major League Training Staff,Herman Schneider,Head Athletic Trainer
cws,Baseball Operations,Major League Training Staff,Brian Ball,Assistant Athletic Trainer
cws,Baseball Operations,Major League Training Staff,Allen Thomas,Director of Conditioning
cws,Baseball Operations,Major League Medical Staff,Dr. Charles A. Bush-Joseph,Lead Physician
cws,Baseball Operations,Major League Medical Staff,Dr. Bernard R. Bach Jr.,Team Physician
cws,Baseball Operations,Major League Medical Staff,Dr. Gregory P. Nicholson,Team Physician
cws,Baseball Operations,Major League Medical Staff,Dr. Kathleen M. Weber,Team Physician
cws,Baseball Operations,Major League Medical Staff,Dr. Brian J. Cole,Team Physician
cws,Baseball Operations,Major League Medical Staff,Dr. Anthony A. Romeo,Team Physician
cws,Baseball Operations,Major League Medical Staff,Dr. David Orth,Team Ophthalmologist
cws,Baseball Operations,Major League Medical Staff,Dr. R. Tracy Williams,Team Optometrist
cws,Baseball Operations,Major League Medical Staff,Dr. Lowell Scott Weil,Team Podiatrist
cws,Baseball Operations,Clubhouse Staff,Vince Fresso,White Sox Clubhouse Manager
cws,Baseball Operations,Clubhouse Staff,Gabe Morell,Visitors' Clubhouse Manager
cws,Baseball Operations,Clubhouse Staff,"Joe McNamara, Jr.",Umpires' Clubhouse Manager
cws,Marketing,Corporate Partnerships,George McDoniel,Director of Corporate Partnerships Sales
cws,Marketing,Corporate Partnerships,Gail Tucker,Director of Corporate Partnerships Activation
cws,Marketing,Corporate Partnerships,Jeff Floerke,Manager of Corporate Partnerships Sales Development
cws,Marketing,Corporate Partnerships,Joe Ronovsky,"Account Executive, Corporate Partnership Development"
cws,Marketing,Corporate Partnerships,"Katherine Claeys, Arden Reed",Corporate Partnerships Activation Coordinator
cws,Marketing,Corporate Partnerships,Kia Carter,Corporate Partnerships Activation Event Coordinator
cws,Marketing,Corporate Partnerships,Tanja Gajic,Corporate Partnerships Administrator
cws,Marketing,Marketing Analytics,Beth Grabowski,Director of Marketing Analytics
cws,Marketing,Ticket Sales and Premium Seating,Tom Sheridan,Senior Director of Ticket Sales
cws,Marketing,Ticket Sales and Premium Seating,Sam Lawson,Manager of Corporate Development and Ticket Sales
cws,Marketing,Ticket Sales and Premium Seating,Rob Boaz,Manager of Premium Seating Sales and Services
cws,Marketing,Ticket Sales and Premium Seating,Lindsey Jordan,Manager of Premium Seating Services
cws,Marketing,Ticket Sales and Premium Seating,Rich Kuchar,Manager of Client Services and Database Administration
cws,Marketing,Ticket Sales and Premium Seating,John Margelewski,Manager of New Business Development and Online Sales
cws,Marketing,Ticket Sales and Premium Seating,Mina Pineda,Manager of Ticket Sales Administration
cws,Marketing,Ticket Sales and Premium Seating,Jeff Bogacki,Manager of Group Sales
cws,Marketing,Ticket Sales and Premium Seating,Maggie Marshall,Coordinator of Client Services and Database Administration
cws,Marketing,Ticket Sales and Premium Seating,Natalie McSharry,Coordinator of Ticket Administration
cws,Marketing,Ticket Sales and Premium Seating,Courtney Long,Coordinator of Premium Seating Services
cws,Marketing,Ticket Sales and Premium Seating,Kelli Naber,Client Services Executive
cws,Marketing,Ticket Sales and Premium Seating,Thomas Bassett,Client Services Executive
cws,Marketing,Ticket Sales and Premium Seating,Adam Delgado,Client Services Executive
cws,Marketing,Ticket Sales and Premium Seating,Troy White,Client Services Executive
cws,Marketing,Ticket Sales and Premium Seating,Nick Fetchik,Group Sales Executive
cws,Marketing,Ticket Sales and Premium Seating,Scott Gbur,Group Sales Executive
cws,Marketing,Ticket Sales and Premium Seating,Dustin Milliken,Group Sales Executive
cws,Marketing,Ticket Sales and Premium Seating,Reynel Penn,Group Sales Executive
cws,Marketing,Ticket Sales and Premium Seating,Joe Jung,Group Sales Executive
cws,Marketing,Ticket Sales and Premium Seating,Night Train Veeck,Group Sales Executive
cws,Marketing,Ticket Sales and Premium Seating,Mike Rourke,New Business Executive
cws,Marketing,Ticket Sales and Premium Seating,Alexa Vaicaitis,New Business Executive
cws,Marketing,Ticket Sales and Premium Seating,Colin Kibler,New Business Executive
cws,Marketing,Broadcasting and Business Development,Bob Grim,Senior Director of Business Development and Broadcasting
cws,Marketing,Broadcasting and Business Development,Jo Simmons,Manager of Business Development
cws,Marketing,Broadcasting and Business Development,Martha Black,Coordinator of White Sox Experiences
cws,Marketing,Broadcasting and Business Development,Lauren Markiewicz,Senior Coordinator of Design Services
cws,Marketing,Broadcasting and Business Development,"Ken Harrelson, Steve Stone",Television Broadcasters
cws,Marketing,Broadcasting and Business Development,"Ed Farmer, Darrin Jackson",Radio Broadcasters
cws,Marketing,Game Operations,Nichole Manning,Senior Director of Game Operations
cws,Marketing,Game Operations,Jeffrey Szynal,Senior Manager of Scoreboard Operations & Production
cws,Marketing,Game Operations,Amy Sheridan,Manager of Game Operations
cws,Marketing,Game Operations,Dan Mielke,Manager of In-Game Entertainment
cws,Marketing,Game Operations,Anthony Olivo,Coordinator of Game Operations
cws,Marketing,Game Operations,Roman Farias,Digital Video Specialist
cws,Marketing,Game Operations,Rocco Fusco,Technical Direction Specialist
cws,Marketing,Game Operations,Justin Tuazon,Animation and Video Specialist
cws,Marketing,Game Operations,"Bianca Alferes, Gerardo Alferes, Julio Avalos, Elliot Barlog, Mark Bradley, Alton Brooks II, Tommi Butler, Patrick Callahan, Steve Debnar, Michael Dijulio, Kendra Dinkins, Pat Ennis, Rafie Fields, Meghan Gleason-Vollmer, James Gonzalez, Patrick Gorman, Gerard Grabowski, Erik Hanson, Chris Hubble, Mark Jacobson, Pamela Johnson, Kevin Kantorski, Ray Kramer, Sergio Lozano, David Marran, Lina Martino, Kellett McConville, Nick McDonough, Jennifer McMahon, David Montenegro, Luis Palacios, Mitchell Pericak, Andrew Pohlman, Ron Pohrebny, Jeff Prah, Melanie Ramsay, Bob Repin, Roberto Rios, Adam Rotroff, Patrick Schultz, Paul Shaer, Patrick Slattery, Anthony Spacucello, Tom Steiner, Justin Szykowny, Daniel Szynal, Nathan Szynal, Nick Szynal, Steve Szynal, Kedonica Taylor, Aaron Vermedal, Brian Wiencek",Gameday Scoreboard Operations Staff
cws,Marketing,Game Operations,Lori Moreland,Organist
cws,Marketing,Game Operations,Gene Honda,Public Address Announcer
cws,Communications,Media Relations,Bob Beghtol,Director of Media Relations
cws,Communications,Media Relations,Ray Garcia,Manager of Media Relations
cws,Communications,Media Relations,"Leni DePoister, Joe Roti",Media Relations Coordinators
cws,Communications,Public Relations,Lou Hernandez,Director of Public Relations
cws,Communications,Public Relations,Marty Maloney,Manager of Public Relations
cws,Communications,Public Relations,Ron Vesely,Team Photographer
cws,Communications,Mass Communications,Nicole Saunches,Director of Mass Communications
cws,Communications,Mass Communications,Gareth Breunlin,Director of Advertising & Design Services
cws,Communications,Mass Communications,Dakin Dugaw,Manager of On-line Communications
cws,Communications,Mass Communications,"Matthew Peterson, Toby Ramos",Senior Coordinators of Design Services
cws,Communications,Mass Communications,Danny Harms,Coordinator of Design Services & Multimedia
cws,Communications,Mass Communications,Colleen Maxwell,Coordinator of Social Media
cws,Communications,Mass Communications,Gabbi LeVert,Coordinator of Advertising
cws,Communications,Community Relations,Christine O'Reilly,Senior Director of Community Relations; Executive Director of Chicago White Sox Charities
cws,Communications,Community Relations,Laura Visin,Manager of Community Relations
cws,Communications,Community Relations,Sarah Marten,Manager of Community Relations
cws,Communications,Community Relations,Kevin Coe,Manager of Youth Baseball Initiatives
cws,Communications,Community Relations,Stacy Tsihlopoulos,Coordinator of Community Relations
cws,Communications,Community Relations,Louise Reynolds,Coordinator of Community Relations
cws,Communications,Community Relations,Carrie Norwood,Community Relations Assistant
cws,Communications,Community Relations,Tiffany Dimas,Community Relations Administrator
cws,Communications,Community Relations,,Community Relations Representatives
cws,Administration,Administrative Staff,Don Brown,Senior Director of Management Information Services
cws,Administration,Administrative Staff,Moira Foy,Senior Director of Human Resources
cws,Administration,Administrative Staff,John Corvino,General Counsel
cws,Administration,Administrative Staff,Barb Reincke,Assistant to the Chairman
cws,Administration,Administrative Staff,Stan Czyzewski,Senior Systems Analyst/Desktop Administrator
cws,Administration,Administrative Staff,Lori Palasti,Executive Assistant to the Senior Executive Vice President
cws,Administration,Administrative Staff,Lori Roppolo,"Executive Assistant to the Sr. VP, Stadium Operations"
cws,Administration,Administrative Staff,Leslie Gaggiano,Senior Coordinator of Human Resources
cws,Administration,Administrative Staff,Katie Hermle,Coordinator of Administration & Investor Relations
cws,Administration,Administrative Staff,Elizabeth Vazquez,Coordinator of Human Resources
cws,Administration,Administrative Staff,Alex Barrera ,Data Network Administrator 
cws,Administration,Accounting,Bill Waters,Senior Director of Finance
cws,Administration,Accounting,Chris Taylor,Accounting Manager
cws,Administration,Accounting,John Storiz,Payroll Manager
cws,Administration,Accounting,Mallory Whitlock,Manager of Special Projects
cws,Administration,Accounting,Jennifer O'Donnell,Chicago Bulls/Sox Training Academy Accounting Manager
cws,Administration,Accounting,Kathy Bingham,Accounting Assistant
cws,Administration,Accounting,Kristy Conners,Coordinator of Accounts Receivable
cws,Administration,Accounting,"Tina Stack, Nancy Trump",Payroll Coordinators
cws,Administration,Accounting,Terry Considine,Coordinator of Accounts Payable
cws,Administration,Accounting,Cheri Vari,Treasury Accounting Coordinator
cws,Administration,Accounting,Marianne Demke,Executive Assistant
cws,Administration,Support Services,Don Esposito,"Senior Director of Purchasing, Construction and Maintenance"
cws,Administration,Support Services,Mike Spidale,Director of Purchasing
cws,Administration,Support Services,Shau Booker,Manager of Central Support Services
cws,Administration,Support Services,Jerae Farries,Coordinator of Central Support Services
cws,Administration,Support Services,Leo Brady,Coordinator of Purchasing/Central Support Services
cws,Administration,Support Services,Matt Nykiel,Manager of Warehouse and Purchasing
cws,Administration,Support Services,Tracy Mobley,Purchasing Administrator
cws,Administration,Support Services,Leo Brady,Coordinator of Purchasing and Central Support Services
cws,Administration,Ticket Office,Mike Mazza,Director of Ticket Operations
cws,Administration,Ticket Office,Ken Wisz,Manager of Ticket Accounting Administration
cws,Administration,Ticket Office,Tom Eichstaedt,Manager of Ticket Office Seasonal Staff
cws,Administration,Ticket Office,Liz Milla,Manager of Ticket Analysis
cws,Administration,Ticket Office,Laura Arenas,Coordinator of Ticketing Services
cws,Administration,Ticket Office,Mary Weiss,Administrative Staff
cws,Administration,Park Operations,Troy Brown,Senior Director of Event Operations
cws,Administration,Park Operations,Greg Hopwood,Senior Director of Stadium Operations
cws,Administration,Park Operations,Julie Taylor,Senior Director of Guest Services and Diamond Suites
cws,Administration,Park Operations,Joe Lachcik,Director of Arizona Facilities
cws,Administration,Park Operations,Roger Bossard,Head Groundskeeper
cws,Administration,Park Operations,Jenny Kondrisack,Manager of Park Operations Administration
cws,Administration,Park Operations,Dave Wanda,Manager of Quality Control
cws,Administration,Park Operations,Alexandria Janowiak,Manager of Guest Services & Diamond Suites
cws,Administration,Park Operations,Katie Harrington,Coordinator of Guest Services
cws,Administration,Park Operations,Maria Villanueva,Switchboard Operator
cws,Administration,Park Operations,Bea Quintero,Switchboard Operator
cws,Administration,Park Operations,Laura Randolph,Receptionist
cws,Administration,Park Operations,Ray Gilmore,Park Operations Staff
cws,Administration,Park Operations,Brian Galvin,Park Operations Staff
cws,Administration,Park Operations,Joseph Moran,Park Operations Staff
cws,Administration,Park Operations,Wayne Kramer,Park Operations Staff
cws,Administration,Park Operations,Curtis Nekovar,Park Operations Staff
cws,Administration,Park Operations,Michael Quan,Park Operations Staff
cws,Administration,Park Operations,Jamie Caudle,Park Operations Staff
cws,Administration,Park Operations,Jerry Powe,Park Operations Staff
cws,Administration,Park Operations,Scott Lynam,Park Operations Staff
cws,Administration,Park Operations,Roy Rivas,Bards Room Chef
cws,Administration,Park Operations,Olivia Ortiz,Bards Room Staff
